English,German,NepalBhasa,Nepali
sister,Schwester,तता,दिदी
sight,Ansicht,लु,दृश्य
map,Karte,नक्सा,नक्सा
river,Fluss,खुसि,नदी
drama,Drama,प्याखः,नाटक
constantly,ständig,मदिक,निरन्तर
decision,Entscheidung,उहः,निर्णय
free of charge,kostenlos,सितिकं,निशुल्क
sure,sicher,पक्का,निश्चित
blue,blau,वँचु,नीलो
salty,salzig,चिलू,नुनिलो
regret,bedauern,पस्ताय्,पश्चाताप
pigeon,Taube,बखुं,परेवा
wait,warten,आसे,पर्ख
pamphlet ,Broschüre,सुचंपउ,पर्चा
Gun,Waffe,तुप:,बन्दुक
trust,Vertrauen,भलसा,भरोसा
language,Sprache,भाय्,भाषा
brother,Bruder,किजा,भाई 
inside,innen,दुने,भित्र 
fate,Schicksal,भागे,भाग्य 
discrimination,Diskriminierung,पासु,भेदभाव
feast,Festmahl,भ्‍वय्,भोज 
soil,Boden,चा,माटो 
just,nur,जक,मात्र 
uncle,onkel,पाजु,मामा 
meat,fleisch,ला,मासु 
sociable,gesellig,हनेपु,मिलनसार 
expensive,teuer,थिकय्,महँगो 
alcohol,Alkohol,अय्‌ला,रक्सी 
get angry,wütend werden,तंचाये,रिसाउनु 
cry,weinen,ख्यये,रुनु 
tree,baum,सिमा,रुख 
goal,ziel,आजु,लक्ष्य 
stick,-,कथि,लट्ठी  
writing,schreiben,च्वेगुज्या,लेखन 
greedy,gierig,आसकुति,लोभी 
idea,Idee,बिचाः,विचार 
strength,stärke,बः,शक्ति
resolution,resolution,फ्याना,संकल्प 
Culture,Kultur,तजि,संस्कृति 
the most,Die meisten,दकलय्,सबभन्दा 
all,Alle,सकलें,समस्त 
satisfaction,Zufriedenheit,लुधन्ति,सन्तोष 
cheap,billig,दं,सस्तो 
keys,Schlüssel,ताःचाः,साँचो 
mother in law,Schwiegermutter,माजु,सासु 
Ms,fräulein / frau,मय्‌जु,सुश्री 
Taste,Geschmack,सवा,स्वाद 
Rice,Reis,जाकि,चामल
Me,Ich,जित:,म
Festival,Festspiele,जात्रा,उत्सव
Job,Arbeit,जागिर,जागिर
Horoscope,Horoskop,जात:,राशिफल
Son in law,Schwiegersohn,जिलाजं,ज्वाई
King,König,जुजु,राजा
Duty,Dienst,ज्या,कर्तव्य
Jail,Gefängnis,जेल,जेल
Murderer,Mörder,ज्यानमारा,हत्यारा
Farmer,Landwirt,ज्यापु,किसान
Farming,Landwirtschaft,ज्यापुज्या ,खेती
Pot,Topf,थल,भाँडो
Difficult,Schwierig,थाकु,गाह्रो
To be reluctant,Zögernd sein,थाकुचाये,अनिच्छुक हुनु
